Name,Sum_Deaths
Hurricane Maria (September 2017),2981
Hurricane Katrina (August 2005),1833
Central/Eastern Drought/Heat Wave (Summer-Fall 1980),1260
"Central, Southern and Northeast Drought/Heat Wave (September 1995)",872
Eastern Drought/Heat Wave (Summer 1999),502
U.S. Drought/Heat Wave (Summer 1988),454
Southeast/Ohio Valley/Midwest Tornadoes (April 2011),321
East Coast Blizzard and Severe Weather (March 1993),270
"Northwest, Central, Eastern Winter Storm and Cold Wave (February 2021)",262
Southern/Midwestern Drought and Heatwave (Spring-Fall 2023),247
Western Drought and Heat Wave (2021),229
Southern Drought and Heat Wave (Summer 1998),200
Blizzard/Floods (January 1996),187
Midwest/Southeast Tornadoes (May 2011),177
Hurricane Sandy (October 2012),159
Hurricane Ian (September 2022),152
Freeze / Cold Wave (December 1983),151
"Winter Storm, Cold Wave (January 1985)",150
Western/Central/Southeast Drought/Heat Wave (Spring-Fall 2000),140
Western/Central Drought and Heat Wave (2022),136
Western/Eastern Severe Weather and Flooding (Winter-Spring 1998),132
U.S. Drought/Heat Wave (2012),123
Hurricane Rita (September 2005),119
Hurricane Ike (September 2008),112
"Western Wildfires, California Firestorm (Summer-Fall 2018)",106
Hawaii Firestorm (August 2023),100
Southeast Drought/Heat Wave (Summer 1986),100
"Winter Storm, Cold Wave (December 1989)",100
Hurricane Irma (September 2017),97
Hurricane Ida (August 2021),96
Southern Plains/Southwest Drought and Heat Wave (Spring-Summer 2011),95
"Southeast, Central Tornado Outbreak (December 2021)",93
Hurricane Harvey (August 2017),89
Ohio and Pennsylvania Tornado Outbreak (June 1985),89
Central and Eastern Winter Storm and Cold Wave (December 2022),87
Hurricane Hugo (September 1989),86
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",85
"Tornadoes, Severe Storms, Floods (Spring 1984)",80
Hurricane Floyd (September 1999),77
"Winter Storm, Cold Wave (January 1994)",70
Mississippi and Ohio Valley Severe Weather and Flooding (March 1997),67
Hurricane Juan (October 1985),63
"Virginia, West Virginia, Pennsylvania and Maryland Flooding (November 1985)",62
Hurricane Andrew (August 1992),61
Hurricane Ivan (September 2004),57
Southeast Tornadoes and Severe Weather (February 2008),57
Hurricane Isabel (September 2003),55
Oklahoma and Kansas Tornadoes (May 1999),55
"Western Wildfires, California Firestorm (Summer-Fall 2017)",54
Hurricane Florence (September 2018),53
Hurricane Gustav (September 2008),53
Western/Plains Drought/Heat Wave (Spring-Fall 2013),53
Severe Storms/Tornadoes (May 2003),51
Texas Tornadoes and Midwest Flooding (December 2015),50
Western Storms and Flooding (December 1982-March 1983),50
Hurricane Michael (October 2018),49
Hurricane Matthew (October 2016),49
